Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Зінчук,Соломія,Павлівна,Жінка,1943-05-03,Ді-джей,місто Остер ,"провулок Штабний, буд. 5 кв. 3, Вугледар, 51634",628-50-10,hryhoriibabych@example.net
Ільченко,Демʼян,Васильович,Чоловік,2007-07-06,Єгер,місто Немирів,"узвіз Цементний, буд. 31, Красногорівка, 26379",+380 (13) 258-70-29,edytakybkalo@example.com
Бгиденко,Орест,Максимович,Чоловік,1952-05-09,Флорист,селище Балаклія,"сквер Ползунова 2-й, буд. 040 кв. 911, Іловайськ, 61347",307 55 98,atymchuk@example.com
Яценюк,Трохим,Максимович,Чоловік,1998-04-07,Шериф,місто Бобровиця,"проспект Листяна, буд. 2 кв. 540, Попасна, 97851",+380 88 215-71-19,iaremenkoamaliia@example.net
Чаленко,Алевтин,Васильович,Чоловік,1994-09-09,Психолог,місто Тернівка ,"проспект Гетьманський, буд. 8, Валки , 24593",022 157-96-73,klavdiiafartushniak@example.org
Гаєвська,Галина,Олександрівна,Жінка,1965-05-19,Парфюмер,місто Тернівка ,"шосе Андрійця Олега, буд. 96 кв. 80, Бобринець, 89563",522 85 47,ielysaveta03@example.com
Артимишин,Опанас,Тарасович,Чоловік,1997-08-08,Біолог,місто Мелітополь,"набережна Соляний 5-й, буд. 2 кв. 55, Іршава, 81997",083 778 60 12,irynashamrai@example.net
Охримович,Стефан,Георгійович,Чоловік,1996-09-10,Астроном,селище Южноукраїнськ,"сквер 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 57, Новоазовськ, 27086",+380 15 355-14-23,myronmykhaliuk@example.org
Яремків,Семен,Іванович,Чоловік,1990-08-15,Агроном,місто Погребище,"набережна Овідіопольська, буд. 37 кв. 1, Вишневе , 47503",+380 (92) 680-55-66,khrystyna51@example.com
Міщенко,Одарка,Степанівна,Жінка,1959-06-27,Ґрунтознавець,село Дунаївці,"вулиця Дунаєвського 2-й, буд. 319, Винники, 29906",286-04-11,frantsvovk@example.net
Габелко,Лесь,Євгенович,Чоловік,2005-03-15,Гінеколог,селище Чернігів,"проспект Корнюшина, буд. 06 кв. 21, Красногорівка, 85471",551 52 72,bohdanna26@example.com
Ґалаґан,Артем,Олександрович,Чоловік,1981-10-02,Клоун,село Дружківка,"набережна Отамана Головатого, буд. 76, Шаргород, 58756",+380 41 290-29-75,avdieienkolarysa@example.com
Гоголь,Пилип,Володимирович,Чоловік,1972-10-10,Паблік рилейшнз,місто Кропивницький,"узвіз Героїв Крут, буд. 90, Погребище, 95908",062 400 30 91,pdanyliuk@example.org
Охримович,Ольга,Іванівна,Жінка,1964-03-25,Реабілітолог,село Малин,"провулок Місячна, буд. 50 кв. 50, Черкаси, 62732",+380 65 260 17 21,serhii10@example.net
Фартушняк,Давид,Володимирович,Чоловік,1941-02-05,Промисловець,селище Зеленодольськ,"парк Політкаторжан, буд. 4, Золочів, 56342",052 681 27 76,verkhovynetsdemian@example.org
Франчук,Анастасія,Миколаївна,Жінка,1967-09-05,Слідчий,село Ужгород,"вулиця Приморський, буд. 736 кв. 05, Надвірна, 01821",+380 (06) 250-67-26,hannaovsiienko@example.org
Вівчаренко,Єва,Олександрівна,Жінка,1976-02-20,Редактор,хутір Кам'янка (Черкаська область),"площа Лермонтовський 2-й, буд. 4, Каховка, 50434",009 452-80-29,bevzprokhir@example.com
Тесля,Віра,Андріївна,Жінка,1988-10-05,Електрик,місто Джанкой,"парк Побратимів, буд. 2 кв. 049, Богуслав, 68973",+380 03 764-40-86,fedir34@example.com
Єщенко,Емілія,Степанівна,Жінка,1958-01-12,Математик,село Тульчин,"провулок Спортивна, буд. 938, Селидове, 17469",+380 25 412-58-71,pavlychenkoonysym@example.com
Голик,Єфрем,Миколайович,Чоловік,2005-08-03,Археолог,хутір Чорноморськ,"провулок Декабристів, буд. 7, Глухів, 86805",+380 (24) 370-85-36,dzhunliudmyla@example.org
Артюх,Омелян,Андрійович,Чоловік,1974-09-27,Дантист,хутір Снятин,"шосе Обільна, буд. 112 кв. 06, Дніпрорудне, 25444",+380 00 810-30-31,heorhii22@example.org
Канівець,Пилип,Григорович,Чоловік,1940-05-24,Географ,хутір Чорноморськ,"площа Пироговський, буд. 816 кв. 102, Охтирка, 70186",930 45 16,nsimashkevych@example.org
Пелех,Тетяна,Павлівна,Жінка,1973-04-23,Конструктор,хутір Бориспіль,"провулок Сосюри, буд. 136, Південне , 44496",133-19-14,okseniiavdovychenko@example.com
Деркач,Юстина,Степанівна,Жінка,1977-10-03,Кушнір,місто Буча,"набережна Дубовий гай, буд. 318, Прип'ять , 02136",875-88-39,spasradchenko@example.com
Кащенко,Зиновій,Георгійович,Чоловік,1987-02-07,Паблік рилейшнз,селище Конотоп,"шосе Грузовий, буд. 03 кв. 429, Чуднів, 69208",+380 11 493 15 59,iereskovalentyn@example.org
Вдовенко,Алевтин,Михайлович,Чоловік,1993-12-05,Машиніст,місто Сорокине,"парк Олександра Невського 1-й, буд. 63, Рівне, 62241",+380 33 698-95-98,smykhailychenko@example.net
Черінько,Герман,Григорович,Чоловік,1940-02-11,Електрослюсар,селище Дубровиця,"площа Молоді, буд. 82, Вовчанськ, 64146",276 21 53,leontii68@example.org
Верховинець,Богуслава,Борисівна,Жінка,1962-10-16,Доцент,місто Остер ,"узвіз Круговий, буд. 840, Мала Виска, 84216",548 03 14,kovalenkoheorhii@example.org
Демиденко,Герман,Тарасович,Чоловік,1998-05-01,Графік,хутір Приморськ (Україна),"вулиця Монгольська, буд. 184 кв. 8, Рубіжне, 66081",068 899 62 33,iustymstus@example.com
Бебешко,Федір,Андрійович,Чоловік,2008-02-17,Гірничий інженер,село Яворів,"шосе Наявний 6-й, буд. 288, Полонне, 12619",+380 56 013 86 97,tereza93@example.net
Абраменко,Петро,Миколайович,Чоловік,1949-02-18,Петрограф,місто Рудки,"набережна 8-ма Суворовська, буд. 2 кв. 36, Теребовля, 50308",082 702-28-41,havrylo99@example.com
Запорожець,Варфоломій,Павлович,Чоловік,1987-10-12,Письменник,хутір Любомль,"узвіз Райдужна, буд. 32 кв. 535, Чернігів, 37958",065 538 23 89,bohuslava28@example.org
Проценко,Ганна,Георгіївна,Жінка,2003-04-07,Археолог,хутір Горохів,"проспект Кифоренка Бориса, буд. 07, Тараща, 74110",+380 (82) 089-97-77,gabramchuk@example.net
Артеменко,Назар,Романович,Чоловік,2003-08-15,Бібліотекар,селище Лозова ,"шосе Грузинська, буд. 419, Долинська, 10056",+380 07 340-22-42,irenaiarema@example.net
Тягнибок,Роман,Андрійович,Чоловік,2002-10-17,Продюсер,село Глухів,"проспект Толбухіна, буд. 6 кв. 9, Бердичів, 33150",025 797-23-89,bohuslavievtushok@example.net
Ткач,Веніямин,Васильович,Чоловік,1997-09-24,Математик,селище Жашків,"площа Слов'янська, буд. 0 кв. 158, Красноперекопськ, 53971",+380 15 290-92-01,andriichukbohodar@example.org
Базавлученко,Трохим,Степанович,Чоловік,1959-05-16,Провізор,хутір Волноваха,"площа Дукова, буд. 853 кв. 1, Тернівка , 61168",746 59 69,overkhola@example.net
Андрійчук,Ігор,Степанович,Чоловік,1960-09-21,Філолог,село Червоноград,"парк Привозна, буд. 8, Міусинськ, 28008",013 136-15-68,itelychenko@example.org
Токар,Юстина,Іванівна,Жінка,1984-02-02,Парфюмер,хутір Тетіїв,"узвіз Лузанівка, буд. 2, Олешки, 51800",+380 91 702 51 85,bohodar84@example.com
Масляк,Клавдія,Павлівна,Жінка,1953-05-10,Фольклорист,селище Дружківка,"шосе Сабанський, буд. 925 кв. 14, Нова Одеса, 17065",836 04 96,taras58@example.org
